timestamp,value,is_anomaly
1,2.256111111,0
2,2.265277778,0
3,2.083611111,0
4,1.788888889,0
5,1.639166667,0
6,1.4225,0
7,1.378888889,0
8,1.350277778,0
9,1.384444444,0
10,1.3975,0
11,1.401944444,0
12,1.4475,0
13,1.541111111,0
14,1.698611111,0
15,1.770555556,0
16,1.700833333,0
17,1.812222222,0
18,1.991111111,0
19,2.014166667,0
20,2.253055556,0
21,2.316666667,0
22,2.366388889,0
23,2.268333333,0
24,2.281388889,0
25,2.254722222,0
26,2.099166667,0
27,1.958611111,0
28,1.819722222,0
29,1.551666667,0
30,1.387222222,0
31,1.2925,0
32,1.174166667,0
33,1.266666667,0
34,1.339166667,0
35,1.2875,0
36,1.412777778,0
37,1.500277778,0
38,1.648333333,0
39,1.692222222,0
40,1.864444444,0
41,1.873611111,0
42,2.053333333,0
43,2.157777778,0
44,2.297222222,0
45,2.413611111,0
46,2.437222222,0
47,2.442222222,0
48,2.302777778,0
49,2.198611111,0
50,2.246944444,0
51,2.007222222,0
52,1.741944444,0
53,1.688333333,0
54,1.451388889,0
55,1.305555556,0
56,1.293888889,0
57,1.378611111,0
58,1.4775,0
59,1.493055556,0
60,1.601111111,0
61,1.689722222,0
62,1.778611111,0
63,1.785555556,0
64,1.868055556,0
65,1.786944444,0
66,2.009444444,0
67,2.170833333,0
68,2.323611111,0
69,2.366388889,0
70,2.380833333,0
71,2.345833333,0
72,2.308888889,0
73,2.268055556,0
74,2.157222222,0
75,2.046388889,0
76,1.890555556,0
77,1.623333333,0
78,1.524166667,0
79,1.396944444,0
80,1.389166667,0
81,1.431111111,0
82,1.421111111,0
83,1.545555556,0
84,1.5625,0
85,1.602777778,0
86,1.666388889,0
87,1.608055556,0
88,1.666388889,0
89,1.821111111,0
90,1.91,0
91,2.051666667,0
92,2.278055556,0
93,2.286666667,0
94,2.358055556,0
95,2.286666667,0
96,2.046944444,0
97,2.13,0
98,2.185277778,0
99,1.979444444,0
100,1.791111111,0
101,1.611944444,0
102,1.508611111,0
103,1.333888889,0
104,1.325,0
105,1.463333333,0
106,1.456111111,0
107,1.421111111,0
108,1.466666667,0
109,1.627777778,0
110,1.6175,0
111,1.718611111,0
112,1.793888889,0
113,1.815833333,0
114,1.882222222,0
115,2.021111111,0
116,2.182777778,0
117,2.364722222,0
118,2.368611111,0
119,2.245555556,0
120,2.277777778,0
121,2.230833333,0
122,2.183055556,0
123,1.969722222,0
124,1.732222222,0
125,1.626111111,0
126,1.519444444,0
127,1.406666667,0
128,1.466666667,0
129,1.3975,0
130,1.5075,0
131,1.476944444,0
132,1.536944444,0
133,1.590277778,0
134,1.691111111,0
135,1.574722222,0
136,1.661666667,0
137,1.789166667,0
138,1.896666667,0
139,2.029722222,0
140,2.2425,0
141,2.361666667,0
142,2.353333333,0
143,2.405,0
144,2.153611111,0
145,2.085833333,0
146,2.198055556,0
147,2.105833333,0
148,1.956111111,0
149,1.686944444,0
150,1.503333333,0
151,1.416111111,0
152,1.408611111,0
153,1.38,0
154,1.385555556,0
155,1.376388889,0
156,1.459166667,0
157,1.58,0
158,1.711944444,0
159,1.676666667,0
160,1.694166667,0
161,1.7775,0
162,1.943611111,0
163,2.231111111,0
164,2.313888889,0
165,2.418611111,0
166,2.377222222,0
167,2.436111111,0
168,2.318055556,0
169,2.198888889,0
170,2.069166667,0
171,2.066388889,0
172,1.810833333,0
173,1.671666667,0
174,1.428333333,0
175,1.371944444,0
176,1.382777778,0
177,1.308333333,0
178,1.4125,0
179,1.376944444,0
180,1.448611111,0
181,1.489444444,0
182,1.557222222,0
183,1.675277778,0
184,1.684166667,0
185,1.898888889,0
186,2.063611111,0
187,2.063611111,0
188,2.156388889,0
189,2.4425,0
190,2.322777778,0
191,2.297777778,0
192,2.222777778,0
193,2.303888889,0
194,2.084166667,0
195,1.907222222,0
196,1.906666667,0
197,1.614444444,0
198,1.528888889,0
199,1.349444444,0
200,1.307222222,0
201,1.258611111,0
202,1.340277778,0
203,1.297777778,0
204,1.402777778,0
205,1.426666667,0
206,1.603055556,0
207,1.736944444,0
208,1.72,0
209,1.842777778,0
210,1.9875,0
211,2.168611111,0
212,2.265833333,0
213,2.34,0
214,2.401388889,0
215,2.249444444,0
216,2.249444444,0
217,2.146944444,0
218,2.0875,0
219,2.063333333,0
220,1.7575,0
221,1.576666667,0
222,1.433611111,0
223,1.334166667,0
224,1.39,0
225,1.318333333,0
226,1.406944444,0
227,1.402777778,0
228,1.408611111,0
229,1.555555556,0
230,1.639722222,0
231,1.633888889,0
232,1.649722222,0
233,1.871388889,0
234,1.891388889,0
235,2.005555556,0
236,2.3075,0
237,2.4425,0
238,2.349444444,0
239,2.224444444,0
240,2.243888889,0
241,2.148611111,0
242,2.159166667,0
243,2.032222222,0
244,1.924166667,0
245,1.643888889,0
246,1.383888889,0
247,1.386944444,0
248,1.359722222,0
249,1.351388889,0
250,1.394444444,0
251,1.505833333,0
252,1.416944444,0
253,1.710277778,0
254,1.585555556,0
255,1.658611111,0
256,1.623055556,0
257,1.755277778,0
258,1.935555556,0
259,2.106944444,0
260,2.270277778,0
261,2.290277778,0
262,2.275833333,0
263,2.279444444,0
264,2.278333333,0
265,2.245833333,0
266,1.962222222,0
267,1.913888889,0
268,1.794166667,0
269,1.545277778,0
270,1.435277778,0
271,1.417222222,0
272,1.249166667,0
273,1.423888889,0
274,1.37,0
275,1.459722222,0
276,1.438055556,0
277,1.498888889,0
278,1.578611111,0
279,1.686111111,0
280,1.710555556,0
281,1.82,0
282,1.851111111,0
283,2.207222222,0
284,2.306388889,0
285,2.342222222,0
286,2.326388889,0
287,2.309166667,0
288,2.182777778,0
289,2.186666667,0
290,2.1125,0
291,1.925277778,0
292,1.798888889,0
293,1.634722222,0
294,1.389166667,0
295,1.311666667,0
296,1.316111111,0
297,1.294722222,0
298,1.381666667,0
299,1.371388889,0
300,1.436388889,0
301,1.481944444,0
302,1.503055556,0
303,1.6875,0
304,1.787222222,0
305,1.79,0
306,1.921944444,0
307,2.053611111,0
308,2.190833333,0
309,2.359444444,0
310,2.334722222,0
311,2.186944444,0
312,2.191111111,0
313,2.151944444,0
314,2.088333333,0
315,1.939166667,0
316,1.843888889,0
317,1.630277778,0
318,1.5225,0
319,1.338055556,0
320,1.293055556,0
321,1.369166667,0
322,1.345833333,0
323,1.340555556,0
324,1.3825,0
325,1.500277778,0
326,1.590277778,0
327,1.610555556,0
328,1.681666667,0
329,1.776111111,0
330,1.938055556,0
